Place ID,Facility,Facility Group,Type,Location,X Coordinate,Y Coordinate,Latitude,Longitude,Geometry
1561,Ferguson Dog Park,Parks,Dog Park,4300 N Stone Mill RD,3108927,1443195,39.209444,-86.532102,POINT (-86.532174816526 39.209402001487)
5069,Innovation Lab,City Offices,Government Offices,627 N Morton ST,3107860,1429780,39.17258219,-86.53622068,POINT (-86.536225864906 39.172589612604)
1795,Latimer Woods,Parks,Nature Park/Preserve,3200 E Buick Cadillac BLVD,3120156,1424789,39.158671,-86.492991,POINT (-86.492971346064 39.158675449588)
5044,Frank Southern Ice Arena Parking Lot,Parking Facility,Parking,N of Frank Southern Ice Arena,3110466,1419288,39.1437333,-86.5272573,POINT (-86.527261036202 39.143740768385)
95,Banneker Community Center,Parks,Community Center,930 W 7th ST,3105365,1428432,39.168922,-86.545049,POINT (-86.545054219197 39.168929719659)
3280,Rose Hill Cemetery Office,City Offices,Government Offices,930 W 4th ST,3105336,1427307,39.165834,-86.545175,POINT (-86.545180038442 39.165841549326)
2023,College Ave and Smith Ave Parking Lot,Parking Facility,Surface Parking Lot,S College AVE south of Convention Center,3108054,1426438,39.163404,-86.535608,POINT (-86.535612778089 39.1634110862)
4895,Upper Cascades Park Shelter,Parks,Park Shelter,"514 W Club House Dr, Bloomington, IN 47404",3106848,1440952,39.2032735,-86.5395537,POINT (-86.539558987243 39.203278460419)
268,Cascades Golf Course Clubhouse,Parks,Golf Course,3550 N Kinser PIKE,3106994,1440232,39.2012919,-86.539051,POINT (-86.539059060086 39.20129933764)
1255,Skate Park at Upper Cascades,Parks,Skate Park,2602 N Kinser PIKE,3107602,1436893,39.191876,-86.536883,POINT (-86.536984709071 39.192122262344)
1004,Olcott Park,Parks,Community Park,2300 E Canada DR,3115256,1412724,39.12563,-86.510514,POINT (-86.510519182231 39.125637777052)
1410,Twin Lakes Sports Park,Parks,Sports Park,2350 W Bloomfield RD,3099017,1422899,39.153833,-86.567549,POINT (-86.567554160974 39.153840286252)
1875,Schmaltz Farm Park Playground,Playground,Playground,3010 E Daniel ST,3120517,1416801,39.1367323,-86.4918759,POINT (-86.491881902186 39.136738385863)
1240,Showers City Hall,City Offices,Government Offices,401 N Morton ST,3107700,1428812,39.169927,-86.536806,POINT (-86.5368107722 39.169934660816)
1871,Park Ridge East Park Playground,Playground,Playground,4421 E Morningside DR,3125460,1427931,39.167198,-86.474188,POINT (-86.474193048431 39.167205333814)
1873,RCA Park Playground,Playground,Playground,1400 W RCA Park DR,3105167,1419723,39.145015,-86.545929,POINT (-86.545934474357 39.145022685874)
1818,Frank Southern Ice Arena,Parks,Skating Rink,2100 S Henderson ST,3110438,1418989,39.142669,-86.52737,POINT (-86.527366211977 39.142920345644)
5039,Griffy Lake Nature Preserve Parking Lot South,Parking Facility,Parking,"W side of Headley Road, South of Griffy Lake",3114684,1436813,39.191774,-86.5119953,POINT (-86.512000675685 39.191782785718)
186,Bloomington Fire Station 3,Public Safety,Fire Station,810 N Woodlawn AVE,3111579,1430258,39.1738,-86.523277,POINT (-86.523098161764 39.173839611729)
1828,Bloomington Fire Training Tower,Public Safety,Public Safety Training Facility,3190 S Walnut ST,3108867,1413414,39.127633,-86.533019,POINT (-86.533024119742 39.1276406408)
3277,Jackson Creek Trail,Parks,Multi-use Trail,Runs from Sherwood Oaks Park to Childs School,3115162,1415141,39.132268,-86.510792,POINT (-86.510796784189 39.132275187263)
1508,Winslow Woods Park,Parks,Community Park,2120 S Highland AVE,3113448,1418568,39.141619,-86.51806,POINT (-86.516763372816 39.141713404233)
2022,6th and Lincoln Parking Lot,Parking Facility,Surface Pay Lot,Across from the Monroe County Public Library,3109230,1427849,39.167258,-86.53143,POINT (-86.531435169603 39.167265356063)
4076,Bloomington Economic and Sustaintable Development,City Offices,Government Offices,401 N Morton ST STE 150,3107737,1428738,39.169723,-86.536677,POINT (-86.536681847273 39.169730885446)
187,Bloomington Fire Station 4,Public Safety,Fire Station,2201 E 3rd ST,3116301,1426885,39.164491,-86.506513,POINT (-86.506518591175 39.164497973535)
1176,Rose Hill Cemetery,Cemetery,Cemetery,1100 W 4th ST,3104852,1427296,39.165708,-86.545797,POINT (-86.546887227253 39.165819219525)
3278,Switchyard Park,Parks,Community Park,Along the B-Trail from Grimes LN to Country Club DR,3108245,1420733,39.147738,-86.535056,POINT (-86.53506075916 39.147745062896)
2903,Griffy Lake Wetland Trail End,Parks,Trailhead,Eastern edge of Griffy Lake shoreline,3115625,1438803,39.197222,-86.508631,POINT (-86.508636275923 39.19722986499)
204,Utility Service Center,City Offices,Government Offices,600 E Miller DR,3110840,1420213,39.146056,-86.526028,POINT (-86.525922408612 39.146274022404)
1864,Bryan Park Playground,Playground,Playground,1001 S Henderson ST,3110671,1423820,39.156172,-86.526435,POINT (-86.526440221008 39.156179741805)
1811,Bloomington Fire Station 5,Public Safety,Fire Station,1987 S Henderson ST,3110699,1419921,39.145416,-86.526502,POINT (-86.526425862255 39.145474723938)
1640,Upper Cascades Park,Parks,Community Park,514 W Club House DR,3106849,1440950,39.203276,-86.53948,POINT (-86.539555500944 39.203272953079)
3273,Bloomington Community Farmers Market,Parks,Farmers Market,Showers City Hall South Parking Lot,3107705,1428543,39.169189,-86.536794,POINT (-86.536798853686 39.169196050318)
1872,Park Ridge Park Playground,Playground,Playground,3421 E Longview AVE,3120815,1428174,39.1679516,-86.4905632,POINT (-86.490569465361 39.167956954965)
2901,Griffy Lake Lanam Trail East Trail Head,Parks,Trailhead,Near Lanam RD,3119216,1438340,39.195888,-86.495972,POINT (-86.495976676582 39.195895546837)
1867,Crestmont Park Playground,Playground,Playground,1209 W 15th ST,3104038,1431012,39.1760298,-86.5496757,POINT (-86.549680920311 39.176034530814)
2907,Griffy Lake North Shore Trail Dam Trail Head,Parks,Trailhead,Griffy Lake Dam off of N Dunn ST,3110310,1441914,39.205854,-86.527317,POINT (-86.527322020684 39.205861909515)
2883,Twin Lakes Trail Northern Trail Head,Parks,Trailhead,N of W Bloomfield Rd around Twin Lakes,3099355,1423362,39.155099,-86.566348,POINT (-86.56635300782 39.155106160846)
4584,Switchyard Park Community Gardens,Parks,Community Garden,"At Switchyard Park, Near the Hillside entrance",3107974,1421783,39.15062,-86.53599,POINT (-86.535993940387 39.150632291304)
2904,Griffy Lake Nature Trail Boathouse Trail Head,Parks,Trailhead,North of side of  the Griffly Lake Boathouse parking lot acr,3114330,1439307,39.198629,-86.513189,POINT (-86.513194271316 39.198636010807)
1831,Goat Farm,Parks,Undeveloped Greenspace,2000 E Winslow RD,3115319,1415785,39.134041,-86.510097,POINT (-86.510229015095 39.134040543835)
1835,Bloomington Traffic Division,Operational Facility,Government Operations,121 W Allen ST,3108286,1423531,39.15549,-86.534865,POINT (-86.534856571165 39.155426187854)
4887,Lower Cascades Park Sycamore Shelter,Parks,Park Shelter,"013-29010, E 10th St, Bloomington, IN 47404",3107393,1438972,39.1978273,-86.53767,POINT (-86.537677932114 39.197833495354)
200,Sanitation Division,Operational Facility,Government Operations,3406 S Walnut ST,3108945,1411920,39.123598,-86.532634,POINT (-86.532781113088 39.123537604148)
3271,Butler Park Community Garden,Parks,Community Garden,West end of Rev Butler Park W 9th ST,3105571,1429148,39.170885,-86.544307,POINT (-86.544312665122 39.17089210932)
5040,Cascades Golf Course Parking Lot,Parking Facility,Parking,Parking lot at Cascades Golf Course,3107061,1440387,39.201715,-86.5388155,POINT (-86.538819361672 39.201723776371)
1498,Willie Streeter Community Garden,Parks,Community Garden,2120 S Highland AVE,3113499,1418788,39.141654,-86.516716,POINT (-86.516578726725 39.142316530708)
4756,Switchyard Park Playground,Playground,Playground,9509 E Northshore DR,3108061,1420241,39.146412,-86.5356881,POINT (-86.535719985767 39.146397344024)
1474,Wapehani Mountain Bike Park,Parks,Mountain Bike Park,3401 W Wapehani RD,3098642,1419191,39.143658,-86.568945,POINT (-86.568950593327 39.143665892929)
4892,RCA Community Park Shelter 2,Parks,Park Shelter,"1400 W Rca Park Dr, Bloomington, IN 47403",3104390,1419759,39.1451281,-86.5486653,POINT (-86.548673224765 39.145134121843)
4852,Clear Creek Trail Parking Lot South,Parking Facility,Parking Lot,"Clear Creek Trail, Bloomington, IN 47403",3106090,1406114,39.107639,-86.5429592,POINT (-86.542965786628 39.10764441955)
2021,4th and Washington Parking Lot,Parking Facility,Surface Pay Lot,4th ST between Walnut and Washington,3108835,1427325,39.165826,-86.532834,POINT (-86.532839486125 39.165833327279)
3700,Bryan Park Woodlawn Shelter,Parks,Park Shelter,1020 S Woodlawn AVE BLDG 3,3111572,1423746,39.155954,-86.523259,POINT (-86.523264653929 39.155961352223)
19,Rev Ernest D Butler Park,Parks,Neighborhood Park,812 W 9th ST,3106049,1429057,39.17081,-86.542502,POINT (-86.542628661025 39.17063446263)
1823,Broadview Park,Parks,Neighborhood Park,704 W Graham DR,3106362,1417952,39.140054,-86.541687,POINT (-86.541758480028 39.140140955088)
2888,Winslow Ballfields Northern Trail Head,Parks,Trailhead,E Highland Ave between ballfields and YMCA upper parking lot,3113733,1418021,39.140199,-86.515765,POINT (-86.515770649879 39.14020674899)
1863,Bloomington Parks Operations,Operational Facility,Government Operations,545 S Adams ST,3103835,1425878,39.161938,-86.55041,POINT (-86.55050333038 39.161942606785)
1877,Southeast Park Playground,Playground,Playground,1600 S Sycamore CT,3116966,1421099,39.148594,-86.504298,POINT (-86.504303564552 39.148601191004)
4077,Bloomington Information Technology Services,City Offices,Government Offices,401 N Morton ST STE 160,3107741,1428747,39.169748,-86.536662,POINT (-86.536667548147 39.169755528311)
5016,Cascades Maintenance Building,Operational Facility,Government Operations,3940 N Kinser PIKE,3105786,1441321,39.20430153,-86.54329346,POINT (-86.543298649583 39.204308958975)
4891,RCA Community Park Shelter 1,Parks,Park Shelter,"1400 W Rca Park Dr, Bloomington, IN 47403",3104777,1419578,39.144626,-86.5473062,POINT (-86.547312530577 39.144630924322)
1868,Highland Village Park Playground,Playground,Playground,950 S Harvey DR,3093076,1424493,39.1583005,-86.5884642,POINT (-86.588472640045 39.158307417956)
1840,Allison-Jukebox Community Center,Parks,Community Center,351 S Washington ST,3109038,1426327,39.163118,-86.53215,POINT (-86.532144936326 39.163089978539)
1824,Dillman Road Wastewater Treatment Plant,Operational Facility,Government Operations,100 W Dillman RD,3104369,1401012,39.093657,-86.549131,POINT (-86.549136096069 39.093664864461)
4978,Trades District Parking Garage,Parking Facility,Parking Garage,489 W 10th ST,3107381,1429189,39.17096754,-86.5379227,POINT (-86.537927882283 39.17097496847)
4080,Bloomington Controllers Office,City Offices,Government Offices,401 N Morton ST STE 240,3107751,1428770,39.169811,-86.536627,POINT (-86.536631789659 39.169818508191)
1411,Twin Lakes Recreation Center,Parks,Recreation Center,1700 W Bloomfield RD,3100200,1423772,39.156268,-86.563218,POINT (-86.563365042084 39.156218548809)
1557,Farmers Market Plaza,Parks,Park Plaza Area,W 8th ST at B-Line Trail,3107525,1428627,39.169422,-86.537427,POINT (-86.537431920591 39.169429644766)
3276,Griffy Woods Nature Preserve,Parks,Nature Park/Preserve,South shore of Griffy Lake between N Dunn ST and N Hinkle RD,3111993,1438512,39.196486,-86.521452,POINT (-86.521457523526 39.19649345022)
4075,Bloomington HAND & Planning and Transportation,City Offices,Government Offices,401 N Morton ST STE 130,3107729,1428714,39.169658,-86.536705,POINT (-86.536710573024 39.16966512611)
4541,Switchyard Pavillion,Parks,Community Center,1601 S Rogers ST,3107774,1420385,39.146788,-86.536723,POINT (-86.536728832511 39.146797441313)
5041,Ferguson Dog Park Parking Lot,Parking Facility,Parking,"4300 N Stone Mill Rd, Bloomington, IN 47408",3108740,1443128,39.209213,-86.5328309,POINT (-86.532836165232 39.209221177043)
2175,3rd and Washington Parking Lot,Parking Facility,Surface Pay Lot,South side of the Bloomington Police Department,3109109,1426752,39.164248,-86.53188,POINT (-86.5318854356 39.164255613064)
3272,Cascades Park Trail,Parks,Multi-use Trail,N Kinser PIKE to N Stone Mill RD,3107648,1439422,39.199057,-86.536763,POINT (-86.536768625819 39.199064726996)
4967,Switchyard Park Walnut Entrance,Parks,Entrance,"1836 S Walnut St, Bloomington, IN 47401",3108781,1420916,39.14823,-86.53316,POINT (-86.53316698433 39.148238577003)
2181,B-Line Trail West Trail Head,Parks,Trailhead,N Adams ST south of W 10th ST,3104029,1429135,39.170874,-86.549746,POINT (-86.549751613895 39.170881448622)
5042,Switchyard Park Parking Lot North,Parking Facility,Parking,Access from W Grimes LN,3108019,1422266,39.1519514,-86.5358205,POINT (-86.535824994917 39.151957604929)
1587,Highland Village Park,Parks,Neighborhood Park,950 S Harvey DR,3092978,1424396,39.158035,-86.588815,POINT (-86.588820093115 39.158042572644)
2885,RCA Community Park Trail Head,Parks,Trailhead,West end of W RCA Park DR,3104657,1419554,39.14456,-86.547731,POINT (-86.547736116348 39.144566978129)
2210,BPD Switchyard Substation,Public Safety,Police Station,245 W Grimes LN,3107964,1422670,39.15306,-86.536005,POINT (-86.536010336562 39.153067683351)
1042,Park Ridge Park,Parks,Neighborhood Park,3421 E Longview AVE,3120808,1428172,39.167944,-86.490589,POINT (-86.490594199333 39.167951589685)
2906,Griffy Lake North Shore Trail East Trail Head,Parks,Trailhead,N Headly RD north of the Griffy Lake Boathouse,3114002,1439997,39.200529,-86.514331,POINT (-86.514336303643 39.20053601542)
1878,Waldron Hill Buskirk Park Playground,Playground,Playground,331 S Washington ST,3109239,1426390,39.1632548,-86.531426,POINT (-86.531434732474 39.163259587053)
2897,Lower Cascades Park Trail Head N Side,Parks,Trailhead,N of Lower Cascades Park W of Old SR 37,3107578,1438808,39.197373,-86.537023,POINT (-86.537028671028 39.197380183918)
230,Bryan Park Pool,Parks,Swimming Pool,1020 S Woodlawn AVE,3111559,1423342,39.154845,-86.523314,POINT (-86.523319287756 39.154852408829)
2886,Latimer Woods Trail Head,Parks,Trailhead,North loop of E Stratum Way between 3105 and 3115,3120148,1424327,39.1574,-86.493005,POINT (-86.493010156971 39.157407199124)
3699,Byan Park Pool Shelter,Parks,Park Shelter,1020 S Woodlawn AVE BLDG 2,3111433,1423389,39.154976,-86.523757,POINT (-86.523762568876 39.154983579135)
4081,Bloomington Community and Family Resources,City Offices,Government Offices,401 N Morton ST STE 260,3107754,1428777,39.16983,-86.536616,POINT (-86.536621059974 39.169837676697)
1870,Olcott Park Playground,Playground,Playground,2300 E Canada DR,3115091,1413062,39.126561,-86.511088,POINT (-86.511093257061 39.126568600212)
4996,Switchyard Park Maintenance,Operational Facility,Government Operations,1611 S Rogers ST,3107318,1420584,39.1473439,-86.53832721,POINT (-86.538332393145 39.147351318149)
2203,Jackson Creek Trail South Trail Head,Parks,Trailhead,300ft east of the east end of E Elliston Dr,3114959,1413225,39.127011,-86.51155,POINT (-86.511554912037 39.127018393953)
1876,Sherwood Oaks Park Playground,Playground,Playground,1600 E Elliston DR,3114398,1414173,39.129625,-86.5135027,POINT (-86.513511363692 39.129630776759)
2196,B-Line Trail South Trail Head,Parks,Trailhead,W Country Club DR between S Madison ST and S Walnut ST,3108325,1416481,39.136063,-86.534864,POINT (-86.53486928338 39.136070008077)
1272,Southeast Park,Parks,Neighborhood Park,1600 S Sycamore CT,3116961,1421207,39.14889,-86.504314,POINT (-86.504318764366 39.148897787472)
4073,Bloomington City Clerk Office,City Offices,Government Offices,401 N Morton ST STE 110,3107708,1428695,39.169606,-86.53678,POINT (-86.536785042818 39.169613309971)
4853,Bloomington Rail Trail Parking Lot,Parking Facility,Parking Lot,"298 W Country Club Dr, Bloomington, IN 47403",3108224,1416367,39.1357517,-86.5352213,POINT (-86.53522776286 39.135758699026)
3274,Crestmont Park,Parks,Neighborhood Park,1209 W 15th ST,3103984,1430861,39.175613,-86.549869,POINT (-86.549874526122 39.175620838703)
1400,Public Safety Training Facility,Public Safety,Public Safety Training Facility,3230 S Walnut ST,3108883,1413252,39.127188,-86.532966,POINT (-86.532971183514 39.127195607827)
1834,Griffy Lake Boathouse,Parks,Recreation Center,3400 N Headley RD,3114344,1439194,39.198318,-86.513142,POINT (-86.513147381654 39.198325535134)
1045,Morton Street Parking Garage,Parking Facility,Parking Garage,220 N Morton ST,3108053,1428134,39.16806,-86.535575,POINT (-86.535580190231 39.16806739673)
1041,Park Ridge East Park,Parks,Neighborhood Park,4421 E Morningside DR,3125365,1428071,39.167584,-86.47452,POINT (-86.474524781115 39.167591444489)
1063,Peoples Park,Parks,Community Park,501 E Kirkwood AVE,3110205,1427677,39.16678,-86.528009,POINT (-86.528000217561 39.166776802069)
2884,Twin Lakes Trail Southern Trail Head,Parks,Trailhead,N of W Bloomfield Rd around Twin Lakes,3099412,1423084,39.154335,-86.566152,POINT (-86.566157599214 39.154342026637)
2020,4th and Dunn Parking Lot,Parking Facility,Surface Pay Lot,S Dunn ST between Kirkwood AVE and 4th ST,3110027,1427332,39.165825,-86.52863,POINT (-86.52863542993 39.165832610794)
1841,Waldron Hill Buskirk Park,Parks,Community Park,331 S Washington ST,3109132,1426527,39.163674,-86.531807,POINT (-86.531809145937 39.163637501123)
4851,Clear Creek Trail Parking Lot North,Parking Facility,Parking Lot,"Clear Creek Trail, Bloomington, IN 47403",3100900,1416506,39.136252,-86.5610374,POINT (-86.561044082236 39.136258873059)
1874,Rev Ernest D Butler Park Playground,Playground,Playground,812 W 9th ST,3106311,1429213,39.1710515,-86.5416935,POINT (-86.541701297897 39.171058462527)
3281,Tuesday Farmers Market Location,Parks,Farmers Market,At the Pavilion in Switchyard Park,3107755,1420430,39.1469143,-86.5367908,POINT (-86.536795983985 39.146921722587)
1554,Lower Cascades Ballfields,Parks,Sports Park,3601 N Old State Road 37,3107869,1440521,39.202049,-86.535883,POINT (-86.535965427181 39.202078304397)
3279,Clear Creek Trail,Parks,Multi-use Trail,Rus from W Tapp RD to W Church LN,3102140,1412466,39.12514,-86.55675,POINT (-86.556755310391 39.125147453357)
1208,Schmalz Farm Park,Parks,Neighborhood Park,3010 E Daniel ST,3120530,1416917,39.137063,-86.491814,POINT (-86.491833408794 39.137056625681)
2898,Lower Cascades Park South Trail Head,Parks,Trailhead,Lower Cascades Park Waterfall Shelter,3107803,1437910,39.194904,-86.536249,POINT (-86.536253913676 39.194911051839)
1837,7th and Walnut Street Parking Garage,Parking Facility,Parking Garage,318 N Walnut ST,3108743,1428536,39.169152,-86.533133,POINT (-86.533138044293 39.169159604683)
1866,Building Trades Park Playground,Playground,Playground,619 W Howe ST,3106695,1425994,39.1622071,-86.5404078,POINT (-86.540414866514 39.162214528918)
2900,Upper Cascades Skate Park Trail Head N End,Parks,Trailhead,N of Upper Cascades Skate Park,3107952,1437652,39.194193,-86.535729,POINT (-86.535733706612 39.194200257505)
3266,Bloomington Parks & Recreation Department,City Offices,Government Offices,401 N Morton ST STE 250,3107626,1428943,39.170288,-86.537064,POINT (-86.537068986504 39.170295539388)
2909,Griffy Lake South Shore Trail North Trail End,Parks,Trailhead,End of South Shore Trail near shorelinein Griffy Woods Natur,3113380,1439240,39.198461,-86.516543,POINT (-86.516547725999 39.19846842229)
1768,John Waldron Arts Center,Parks,Arts Center/Gallery,122 S Walnut ST,3108542,1427289,39.165732,-86.533868,POINT (-86.533873597119 39.165739367884)
2908,Griffy Lake South Shore Trail Sassafras CIR Trail,Parks,Trailhead,E Sassafras CIR in Meadwood,3112573,1437196,39.192863,-86.519435,POINT (-86.51943999483 39.192870570358)
2201,Bloomington Rail Trail South Trail Head,Parks,Trailhead,900 ft north of W Church LN Clear Creek Trail Parking Lot,3106181,1406867,39.109703,-86.542624,POINT (-86.542629318822 39.109710283719)
942,Monroe Water Treatment Plant,Operational Facility,Government Operations,7470 S Shields Ridge RD,3128895,1393593,39.072254,-86.463459,POINT (-86.462905944191 39.072868379773)
1814,Street Department,Operational Facility,Government Operations,1981 S Henderson ST,3111326,1420009,39.145641,-86.524223,POINT (-86.524213307707 39.145705740054)
2892,Butler Park Ninth Street Loop Fairview Trail Head,Parks,Trailhead,N Fairview St north of W 9th ST and Park Parking Lot,3106461,1429323,39.171351,-86.541165,POINT (-86.541169923879 39.17135800188)
198,Police Department Headquarters,Public Safety,Police Station,220 E 3rd ST,3109213,1426799,39.164375,-86.531512,POINT (-86.531517651442 39.164382913035)
